"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"39","Tyler Myers","VAN","D","57","1183.2833333333","4","17","8","9","21","42.86","66","6.06","4.28","171","118","44","6","5","20","56","24","22","2","0","6","46","27","62","60","103","0","0","-"
"47","Gustav Nyquist","MIN, NSH","C, R","58","1023.4333333333","9","12","6","6","21","50.00","72","12.50","12.51","174","118","101","43","6","18","12","6","6","0","0","14","51","13","29","50","22","11","13","45.83"
"50","Jared Spurgeon","MIN","D","46","936.6","6","15","6","9","21","45.65","77","7.79","3.93","165","109","46","7","4","20","12","6","6","0","0","2","43","15","37","66","79","0","0","-"
"64","Chris Kreider","NYR","L","48","827.35","17","4","0","4","21","42.00","120","14.17","18.79","202","173","136","81","8","14","20","10","10","0","0","4","23","6","60","15","18","22","36","37.93"
"81","Nic Dowd","WSH","C","61","938","11","10","4","6","21","58.33","66","16.67","9.76","123","95","82","48","12","10","42","17","16","0","1","12","33","23","101","81","65","435","462","48.49"
"91","Charlie Coyle","BOS","C","62","1094.2833333333","14","7","3","4","21","48.84","90","15.56","12.81","182","142","111","58","17","25","18","9","9","0","0","13","40","38","90","24","49","263","274","48.98"
"104","Jeff Skinner","EDM","C, L","53","660.33333333333","11","10","8","2","21","77.78","109","10.09","12.87","199","150","110","52","12","22","10","5","5","0","0","9","28","12","23","39","19","9","11","45.00"
"169","Brady Skjei","NSH","D","60","1288.8833333333","7","14","5","9","21","39.62","116","6.03","7.25","244","161","56","8","13","20","28","14","14","0","0","8","77","23","43","72","64","0","0","-"
"201","Brett Kulak","EDM","D","60","1205.6666666667","7","14","5","9","21","41.18","95","7.37","4.11","193","132","47","7","8","12","10","5","5","0","0","2","59","17","23","77","93","0","0","-"
"327","Rasmus Andersson","CGY","D","60","1447.2833333333","8","13","2","11","21","36.84","117","6.84","6.18","278","191","83","15","6","23","50","21","20","0","1","18","87","27","24","79","147","0","0","-"
"347","Tommy Novak","NSH","C","51","676.76666666667","12","9","7","2","21","75.00","85","14.12","9.83","144","115","97","36","4","17","4","2","2","0","0","4","44","11","5","79","20","89","117","43.20"
"359","Nicolas Roy","VGK","C","49","742.7","7","14","7","7","21","61.76","72","9.72","8.99","123","96","79","45","4","9","37","12","10","1","1","5","35","14","47","44","21","248","266","48.25"
"460","Mathieu Olivier","CBJ","R","60","868.71666666667","12","9","2","7","21","67.74","76","15.79","8.02","135","101","70","49","9","11","99","33","22","11","0","23","35","19","227","57","66","11","19","36.67"
"617","Alex Turcotte","L.A","C","54","664.73333333333","7","14","9","5","21","70.00","66","10.61","9.67","123","98","90","51","4","18","14","6","6","0","0","6","33","9","21","77","23","39","58","40.21"
"647","Philip Broberg","STL","D","49","983.53333333333","6","15","6","9","21","52.50","71","8.45","3.51","174","115","44","9","8","13","10","4","4","0","0","5","67","17","33","100","63","0","0","-"
"655","Vasily Podkolzin","EDM","R","60","776.55","6","15","5","10","21","61.76","85","7.06","11.33","141","119","85","51","7","16","22","7","5","2","0","9","35","15","132","73","34","11","38","22.45"
"656","Alex Newhook","MTL","C","61","925","12","9","5","4","21","47.73","83","14.46","12.54","193","138","129","56","2","14","22","11","11","0","0","9","30","12","65","78","23","171","226","43.07"
"789","Ryker Evans","SEA","D","54","1074.0666666667","5","16","7","9","21","45.65","48","10.42","2.78","139","90","33","6","3","12","18","9","9","0","0","7","50","7","91","89","79","0","0","-"
"52","Marcus Johansson","MIN","L","52","832.98333333333","5","15","10","5","20","62.50","83","6.02","8.3","164","119","81","35","2","20","4","2","2","0","0","6","32","10","30","52","19","3","12","20.00"
"108","Tyler Seguin","DAL","C","19","308.18333333333","9","11","8","3","20","64.52","43","20.93","7.37","88","62","60","23","2","5","2","1","1","0","0","1","12","4","4","7","6","87","80","52.10"
"186","Esa Lindell","DAL","D","60","1325.7666666667","4","16","8","8","20","31.25","77","5.19","3.65","166","109","47","9","7","13","14","7","7","0","0","8","74","27","39","139","131","0","0","-"
"203","Josh Anderson","MTL","R","61","863.78333333333","10","10","6","4","20","64.52","85","11.76","11.02","165","132","117","54","11","15","58","26","24","2","0","19","28","14","130","44","29","24","14","63.16"
"299","Christian Dvorak","MTL","C","61","911.1","6","14","11","3","20","64.52","80","7.50","11.7","166","126","87","48","7","22","12","6","6","0","0","7","49","15","31","60","54","432","327","56.92"
"324","Andrew Mangiapane","WSH","L","60","791.6","11","9","6","3","20","60.61","70","15.71","10.9","133","106","95","52","9","15","16","8","8","0","0","15","40","10","52","41","20","4","4","50.00"
"352","Mathew Barzal","NYI","C","30","610.48333333333","6","14","11","3","20","54.05","78","7.69","7.88","171","116","79","28","0","15","4","2","2","0","0","5","36","10","24","17","24","22","30","42.31"
"360","Anthony Beauvillier","PIT","L","62","804.23333333333","13","7","3","4","20","58.82","115","11.30","13.66","208","161","130","68","3","27","12","6","6","0","0","15","21","15","108","59","25","4","7","36.36"
"383","Alexandre Carrier","MTL, NSH","D","58","1177.3666666667","3","17","8","9","20","44.44","62","4.84","3.09","133","92","39","9","6","14","26","13","13","0","0","13","49","19","55","143","117","0","0","-"
"390","Vladislav Gavrikov","L.A","D","59","1406.1","3","17","6","11","20","37.04","79","3.80","4.57","199","117","53","10","10","19","14","7","7","0","0","5","47","19","32","73","115","0","0","-"
"393","Matt Roy","WSH","D","51","1004.3166666667","2","18","10","8","20","40.82","58","3.45","3.12","173","104","43","8","8","18","16","8","8","0","0","5","71","7","93","100","85","0","0","-"
"436","Samuel Girard","COL","D","58","1223.3166666667","3","17","8","9","20","32.79","73","4.11","3.1","182","108","48","7","9","14","12","6","6","0","0","7","68","18","46","65","86","0","0","-"
"449","Ross Colton","COL","C","44","676.83333333333","15","5","3","2","20","52.63","96","15.63","14.21","191","148","126","59","8","21","10","5","5","0","0","9","36","10","104","53","32","36","50","41.86"
"457","Justin Brazeau","BOS","R","56","724.93333333333","10","10","8","2","20","71.43","76","13.16","11.52","134","112","90","57","9","13","16","4","3","0","1","7","32","10","86","48","26","3","10","23.08"
"510","Alex Iafallo","WPG","L","61","768.96666666667","8","12","9","3","20","45.45","79","10.13","8.63","135","110","80","47","7","13","15","6","5","1","0","7","24","20","28","25","42","7","8","46.67"
"514","Eetu Luostarinen","FLA","C","61","935.18333333333","8","12","7","5","20","54.05","67","11.94","10.63","138","109","88","45","7","12","24","11","11","0","0","12","33","15","126","110","46","23","31","42.59"
"537","Joel Farabee","CGY, PHI","L","60","902.71666666667","9","11","8","3","20","58.82","111","8.11","14.32","189","149","115","61","8","22","26","10","8","2","0","12","56","16","63","76","42","14","27","34.15"
"585","Martin Pospisil","CGY","C","60","828.36666666667","4","16","9","7","20","50.00","79","5.06","9.83","164","123","86","40","7","10","78","25","19","4","2","25","39","10","213","55","20","65","94","40.88"
"652","Jordan Spence","L.A","D","58","1010.1666666667","3","17","10","7","20","42.55","63","4.76","3.08","195","114","45","4","2","20","16","8","8","0","0","2","55","11","59","99","64","0","0","-"
"677","Drew O'Connor","PIT, VAN","L","62","907.05","8","12","7","5","20","64.52","99","8.08","15.67","197","161","120","71","11","23","24","12","12","0","0","13","43","29","60","82","44","39","55","41.49"
"690","Ridly Greig","OTT","C","57","939.13333333333","9","11","9","2","20","51.28","82","10.98","13.2","158","136","105","58","5","19","43","19","18","1","0","15","27","14","108","99","31","103","104","49.76"
"714","Mavrik Bourque","DAL","C","54","674.08333333333","9","11","5","6","20","62.50","56","16.07","8.3","122","93","80","40","3","15","4","2","2","0","0","11","28","10","32","72","24","121","137","46.90"
"766","Mackie Samoskevich","FLA","R","53","636.83333333333","10","10","6","4","20","71.43","83","12.05","11.64","179","140","102","50","6","20","8","4","4","0","0","9","32","8","89","70","19","0","0","-"
"30","Ryan McDonagh","T.B","D","60","1235.65","2","17","7","10","19","27.54","56","3.57","3.25","139","92","37","9","8","8","14","7","7","0","0","2","84","24","18","63","116","0","0","-"
"33","Lars Eller","PIT, WSH","C","59","803.16666666667","10","9","8","1","19","57.58","78","12.82","8.96","152","110","85","34","5","14","28","14","14","0","0","9","32","10","37","81","30","287","253","53.15"
"137","Brandon Saad","STL, VGK","L","51","749.7","9","10","4","6","19","59.38","89","10.11","9.93","153","119","93","50","5","8","6","3","3","0","0","6","39","15","11","38","14","3","11","21.43"
"170","Tanner Pearson","VGK","L","57","678.95","9","10","6","4","19","70.37","75","12.00","8.63","141","107","73","33","5","14","4","2","2","0","0","10","32","12","75","53","34","6","15","28.57"
"194","Colton Sissons","NSH","C","59","853.1","7","12","9","3","19","65.52","68","10.29","8.88","127","103","75","53","11","10","20","10","10","0","0","6","26","17","80","53","62","281","230","54.99"
"252","Rasmus Ristolainen","PHI","D","58","1189.6666666667","4","15","4","11","19","33.33","89","4.49","4.72","172","126","41","13","6","23","14","6","6","0","0","5","46","21","90","115","88","0","0","-"
"294","Marcus Pettersson","PIT, VAN","D","56","1230.5833333333","3","16","8","8","19","33.33","50","6.00","2.8","166","102","34","5","6","14","33","15","14","1","0","6","68","23","62","135","97","0","0","-"
"308","Viktor Arvidsson","EDM","L","45","660.16666666667","7","12","9","3","19","63.33","100","7.00","10.53","200","145","101","41","9","18","16","8","8","0","0","5","47","10","17","67","13","12","27","30.77"
"386","Niko Mikkola","FLA","D","57","1149.2333333333","4","15","3","12","19","32.76","86","4.65","4.46","201","129","51","8","5","18","44","22","22","0","0","12","82","9","97","137","79","0","0","-"
"407","Ryan Lindgren","NYR","D","54","1076.7666666667","2","17","4","13","19","41.30","41","4.88","3.14","145","74","43","5","6","10","36","18","18","0","0","11","55","10","59","90","102","0","0","-"
"417","Sam Steel","DAL","C","58","848.66666666667","6","13","8","5","19","67.86","76","7.89","6.42","142","103","70","30","6","16","22","11","11","0","0","11","29","9","45","67","18","152","136","52.78"
"587","Paul Cotter","N.J","C","62","836.4","13","6","4","2","19","67.86","73","17.81","10.51","166","121","96","40","6","18","45","21","20","1","0","15","29","13","196","106","26","34","29","53.97"
"704","Lukas Reichel","CHI","L","52","632.33333333333","6","13","8","5","19","70.37","56","10.71","6.12","93","73","59","33","3","7","10","5","5","0","0","2","24","11","21","47","23","117","178","39.66"
"810","Jiri Kulich","BUF","C","45","649.6","12","7","4","3","19","54.29","96","12.50","11.42","190","141","102","46","4","19","12","5","5","0","0","8","24","10","30","23","22","166","204","44.86"
"845","Zach Benson","BUF","L","53","769.7","9","10","8","2","19","61.29","79","11.39","13.24","154","132","110","80","3","21","40","20","20","0","0","20","26","10","22","62","18","3","14","17.65"
"80","Nick Jensen","OTT","D","55","1118.6833333333","3","15","6","9","18","34.62","59","5.08","2.34","167","93","47","8","9","9","6","3","3","0","0","7","61","16","43","122","67","0","0","-"
"140","William Karlsson","VGK","C","38","652.95","7","11","8","3","18","66.67","89","7.87","9.94","184","137","84","40","2","13","0","0","0","0","0","8","35","11","15","49","27","282","197","58.87"
"150","Jonas Brodin","MIN","D","38","862.48333333333","4","14","3","11","18","41.86","61","6.56","1.67","134","82","31","6","4","15","12","6","6","0","0","3","43","13","19","68","81","0","0","-"
"176","Cody Ceci","DAL, S.J","D","63","1362.0333333333","4","14","4","10","18","33.33","66","6.06","2.34","164","94","34","5","10","7","20","10","10","0","0","6","56","17","69","92","115","0","0","-"
"254","Valeri Nichushkin","COL","R","23","448.8","12","6","3","3","18","51.43","62","19.35","9.32","110","85","75","34","5","10","4","2","2","0","0","2","20","3","20","19","10","3","3","50.00"
"270","Garnet Hathaway","PHI","R","60","712.8","8","10","5","5","18","64.29","76","10.53","8.42","131","112","79","40","6","18","48","21","19","2","0","29","24","7","218","62","56","7","11","38.89"
"319","Jake Middleton","MIN","D","50","1075.9333333333","7","11","6","5","18","36.73","73","9.59","3.52","157","95","64","10","9","10","40","17","15","2","0","13","48","16","72","62","122","0","0","-"
"391","Mason Appleton","WPG","C","50","732.66666666667","8","10","6","4","18","64.29","83","9.64","8.58","138","112","65","33","6","9","14","6","6","0","0","8","27","12","51","72","24","8","10","44.44"
"404","Luke Kunin","S.J","C","62","945.51666666667","11","7","4","3","18","60.00","94","11.70","13.05","183","136","112","63","13","19","44","19","17","2","0","12","26","10","161","59","64","177","199","47.07"
"445","Filip Hronek","VAN","D","39","924.11666666667","3","15","4","11","18","43.90","52","5.77","3.36","158","97","38","5","0","9","22","11","11","0","0","5","44","10","62","61","49","0","0","-"
"581","Jonatan Berggren","DET","R","58","744.35","9","9","7","2","18","75.00","71","12.68","8.69","149","112","78","24","3","9","12","6","6","0","0","12","21","10","15","57","10","5","6","45.45"
"582","Alexander Romanov","NYI","D","46","1049.85","4","14","8","6","18","36.73","67","5.97","2.88","173","102","42","6","8","9","20","10","10","0","0","4","62","21","102","111","121","0","0","-"
"664","Matias Maccelli","UTA","L","52","723.63333333333","8","10","7","3","18","75.00","82","9.76","9.46","192","138","80","27","4","17","8","4","4","0","0","6","43","11","6","52","10","6","6","50.00"
"840","Andrei Kuzmenko","CGY, PHI","L","42","632.55","5","13","7","6","18","60.00","50","10.00","6.69","105","76","66","34","0","11","12","6","6","0","0","11","32","15","9","37","11","1","0","100.00"
"45","Adam Henrique","EDM","C","59","847.48333333333","8","9","4","5","17","56.67","78","10.26","10.01","133","110","86","49","8","19","12","6","6","0","0","3","42","14","38","35","57","379","315","54.61"
"85","Chris Tanev","TOR","D","57","1128.2","2","15","7","8","17","28.33","30","6.67","1.14","92","50","23","4","2","5","18","9","9","0","0","6","61","9","11","103","151","0","0","-"
"98","Kevin Hayes","PIT","R","46","565.03333333333","9","8","4","4","17","58.62","78","11.54","11.64","155","123","86","43","8","23","6","3","3","0","0","4","25","11","33","18","10","171","149","53.44"
"114","Sam Carrick","NYR","C","61","697.9","5","12","8","4","17","68.00","60","8.33","7.45","115","88","63","37","6","17","45","18","15","3","0","9","34","13","110","53","32","281","244","53.52"
"195","Teddy Blueger","VAN","C","60","862.1","5","12","9","3","17","62.96","65","7.69","9.27","134","109","73","38","10","14","23","10","9","1","0","9","34","16","80","42","32","366","367","49.93"
"196","Jake McCabe","TOR","D","52","1116.6666666667","2","15","6","9","17","26.15","58","3.45","1.84","141","79","41","3","12","9","38","16","14","2","0","13","61","7","98","93","108","0","0","-"
"202","Erik Gustafsson","DET","D","52","838.18333333333","2","15","11","4","17","45.95","59","3.39","3.57","165","103","42","6","5","23","20","10","10","0","0","4","66","7","23","94","37","0","0","-"
"225","Mattias Janmark","EDM","C","59","765.91666666667","2","15","11","4","17","70.83","38","5.26","5.93","79","60","51","29","2","5","16","8","8","0","0","7","34","9","24","68","23","39","55","41.49"
"237","Ryan Hartman","MIN","R","48","707.61666666667","7","10","7","3","17","56.67","108","6.48","11.41","200","151","97","44","7","20","50","18","15","2","1","15","49","12","53","44","30","143","161","47.04"
"258","Ryan Pulock","NYI","D","53","1142.7666666667","3","14","9","5","17","36.96","75","4.00","2.99","169","109","40","1","9","18","10","5","5","0","0","3","59","21","63","80","119","0","0","-"
"401","Brandon Tanev","SEA","L","59","826.78333333333","9","8","5","3","17","70.83","84","10.71","10.11","140","127","75","51","7","12","8","4","4","0","0","12","39","17","119","71","91","6","20","23.08"
"536","Martin Fehervary","WSH","D","61","1160.4833333333","3","14","9","5","17","34.69","58","5.17","2.24","153","92","43","7","7","10","21","9","8","1","0","8","49","6","111","123","122","0","0","-"
"562","Jack McBain","UTA","C","61","814.63333333333","11","6","3","3","17","58.62","64","17.19","9.91","143","109","85","46","3","13","61","19","13","5","1","12","40","13","209","86","39","126","125","50.20"
"638","Philip Tomasino","NSH, PIT","C, R","45","580.58333333333","9","8","5","3","17","53.13","70","12.86","8.64","122","97","74","36","10","15","4","2","2","0","0","7","24","10","42","63","15","5","8","38.46"
"641","Nicholas Robertson","TOR","L","53","642.13333333333","11","6","4","2","17","68.00","86","12.79","7.75","172","132","83","30","7","11","6","3","3","0","0","11","16","14","51","29","26","2","3","40.00"
"658","Joel Kiviranta","COL","L","61","776.13333333333","11","6","3","3","17","62.96","64","17.19","8.1","125","92","76","37","6","7","14","7","7","0","0","7","26","14","86","71","29","19","23","45.24"
"739","Emil Heineman","MTL","L","46","520.56666666667","10","7","5","2","17","77.27","50","20.00","6.71","123","84","68","17","3","9","16","8","8","0","0","3","22","6","112","58","19","0","6","0.00"
"154","Connor Murphy","CHI","D","48","999.38333333333","1","15","3","12","16","41.03","54","1.85","2.7","119","75","31","4","5","12","44","19","17","2","0","15","47","12","81","92","119","0","0","-"
"163","Yanni Gourde","SEA","C","35","544.86666666667","6","10","4","6","16","64.00","38","15.79","6.07","83","64","43","26","4","11","36","10","7","2","1","9","23","11","58","39","26","183","184","49.86"
"208","Alexander Kerfoot","UTA","C","61","931.8","7","9","6","3","16","69.57","75","9.33","10.32","132","108","66","37","7","14","10","5","5","0","0","14","58","25","35","94","45","200","197","50.38"
"236","Jason Dickinson","CHI","C","53","844.88333333333","7","9","4","5","16","55.17","52","13.46","6.95","139","86","71","31","7","10","14","7","7","0","0","11","22","13","90","72","49","418","440","48.72"
"267","Trevor van Riemsdyk","WSH","D","61","1063","0","16","9","7","16","32.00","62","0.00","2.17","162","100","34","3","6","17","12","6","6","0","0","2","48","21","7","35","112","0","0","-"
"288","Robby Fabbri","ANA","C","44","713","8","8","6","2","16","64.00","65","12.31","7.37","111","88","67","27","3","16","20","10","10","0","0","8","30","14","56","49","29","71","85","45.51"
"305","Michael Amadio","OTT","R","50","704.16666666667","6","10","9","1","16","55.17","56","10.71","7.87","110","87","73","38","4","9","16","8","8","0","0","8","26","14","72","81","30","46","41","52.87"
"339","Erik Cernak","T.B","D","54","998.63333333333","3","13","6","7","16","32.00","48","6.25","2.1","129","76","39","4","9","9","31","14","13","1","0","8","25","12","117","81","79","0","0","-"
"478","Michael Rasmussen","DET","C","56","744.31666666667","9","7","4","3","16","45.71","77","11.69","11.68","133","103","86","56","7","10","15","6","5","1","0","7","29","8","96","70","38","68","71","48.92"
"480","Mikey Anderson","L.A","D","55","1250.3166666667","6","10","1","9","16","39.02","64","9.38","4.25","186","106","46","8","9","13","18","9","9","0","0","7","46","17","80","109","93","0","0","-"
"588","Nikolai Kovalenko","COL, S.J","R","45","543.05","5","11","6","5","16","59.26","40","12.50","4.9","82","66","50","26","6","3","12","6","6","0","0","10","27","13","67","51","19","0","6","0.00"
"612","Peyton Krebs","BUF","C","58","789.13333333333","4","12","7","5","16","53.33","53","7.55","6.42","148","100","70","27","5","10","35","13","10","3","0","22","30","8","101","74","20","222","213","51.03"
"618","Trevor Zegras","ANA","C","34","579.41666666667","7","9","5","4","16","66.67","70","10.00","7.81","133","104","57","22","3","15","12","6","6","0","0","3","26","8","29","16","20","59","100","37.11"
"680","Mitchell Chaffee","T.B","R","56","694.33333333333","11","5","2","3","16","55.17","56","19.64","7.94","103","85","72","38","1","4","19","8","7","1","0","13","25","9","111","71","17","4","6","40.00"
"715","Luke Evangelista","NSH","R","47","609.4","5","11","4","7","16","88.89","84","5.95","7.4","138","110","69","31","2","9","18","9","9","0","0","13","20","10","20","57","8","0","1","0.00"
"22","Patrick Maroon","CHI","L","55","635.96666666667","4","11","9","2","15","60.00","60","6.67","8.3","105","87","63","37","7","9","71","20","13","5","2","12","30","4","88","35","8","30","32","48.39"
"67","Tomas Tatar","N.J","L","56","597.46666666667","6","9","4","5","15","55.56","54","11.11","7.27","102","72","54","31","3","12","16","8","8","0","0","5","30","6","40","47","14","6","6","50.00"
"70","Brian Dumoulin","ANA","D","59","1169.6333333333","1","14","6","8","15","36.59","55","1.82","2.51","130","86","34","4","3","15","10","5","5","0","0","11","40","19","59","98","89","0","0","-"
"73","Craig Smith","CHI","C","39","451.93333333333","8","7","6","1","15","62.50","73","10.96","5.4","121","97","61","23","5","16","28","10","9","0","1","6","26","10","26","23","20","7","13","35.00"
"96","Nick Bjugstad","UTA","C","53","670.06666666667","5","10","7","3","15","78.95","95","5.26","9.66","172","135","93","37","2","14","12","6","6","0","0","9","27","8","89","59","26","206","226","47.69"
"125","Nick Seeler","PHI","D","56","928.3","3","12","5","7","15","34.88","58","5.17","2.48","167","100","35","7","4","16","26","10","8","2","0","10","54","11","69","84","142","0","0","-"
"144","Adam Larsson","SEA","D","61","1285.2833333333","3","12","5","7","15","22.39","77","3.90","4","192","127","42","7","8","18","21","9","8","1","0","4","40","20","78","68","119","0","0","-"
"185","Oskar Sundqvist","STL","C","48","628.7","5","10","7","3","15","62.50","43","11.63","8.19","95","70","57","36","2","14","28","14","14","0","0","11","31","12","66","42","35","197","233","45.81"
"190","Adam Pelech","NYI","D","40","856.56666666667","0","15","3","12","15","46.88","76","0.00","3.55","188","124","50","7","10","18","18","8","8","0","0","6","40","23","61","91","58","0","0","-"
"212","Nate Schmidt","FLA","D","60","970.3","5","10","6","4","15","37.50","49","10.20","2.54","149","85","40","5","4","12","17","7","6","1","0","9","64","24","58","70","43","0","0","-"
"259","Nikita Zadorov","BOS","D","62","1270.25","3","12","6","6","15","26.32","81","3.70","4.5","202","124","50","5","6","11","119","40","32","5","3","16","81","20","153","102","86","0","0","-"
"341","A.J. Greer","FLA","L","62","596.38333333333","5","10","9","1","15","68.18","64","7.81","8.05","122","92","71","35","7","15","89","32","26","5","1","25","32","8","162","66","18","12","26","31.58"
"422","Trent Frederic","BOS","C","57","788.68333333333","8","7","4","3","15","62.50","75","10.67","10.79","165","116","94","43","7","21","44","16","12","4","0","10","32","12","152","67","29","93","119","43.87"
"448","Brandon Duhaime","WSH","R","61","830.56666666667","7","8","4","4","15","62.50","68","10.29","10.27","138","109","72","39","6","8","47","16","11","5","0","18","28","6","125","75","50","17","18","48.57"
"479","Cody Glass","PIT","C","50","671.55","4","11","9","2","15","62.50","76","5.26","8.04","151","111","89","31","2","10","12","6","6","0","0","7","22","11","42","48","30","175","157","52.71"
"503","Ryan Poehling","PHI","C","47","618.93333333333","4","11","9","2","15","65.22","44","9.09","4.08","83","60","49","21","5","6","12","6","6","0","0","7","33","7","18","50","52","252","240","51.22"
"546","K'Andre Miller","NYR","D","55","1196.95","5","10","7","3","15","25.42","84","5.95","4.28","188","123","60","9","10","21","12","6","6","0","0","2","71","43","80","62","80","0","0","-"
"563","Kevin Bahl","CGY","D","51","1087.4","2","13","9","4","15","37.50","51","3.92","2.17","146","90","36","5","6","12","31","10","8","1","1","4","60","18","68","51","87","0","0","-"
"601","Logan O'Connor","COL","R","61","890.5","7","8","3","5","15","65.22","71","9.86","8.24","130","106","80","45","2","10","19","8","7","1","0","18","22","13","53","78","37","26","41","38.81"
"610","Brett Leason","ANA","R","50","667.96666666667","5","10","5","5","15","57.69","71","7.04","8.19","138","107","67","33","7","14","18","9","9","0","0","4","25","7","55","52","33","22","55","28.57"
"853","Uvis Balinskis","FLA","D","58","860.95","4","11","5","6","15","37.50","74","5.41","3.03","152","100","42","4","3","16","21","9","8","1","0","8","31","18","56","84","42","0","2","0.00"
"124","Dylan DeMelo","WPG","D","61","1313.35","3","11","5","6","14","21.21","55","5.45","2.36","138","93","33","5","3","10","32","16","16","0","0","10","62","24","104","132","85","0","0","-"
"138","Joel Edmundson","L.A","D","55","1140.55","5","9","3","6","14","24.56","69","7.25","2.43","185","120","40","5","7","19","16","8","8","0","0","5","42","17","82","68","81","0","0","-"
"173","Olli Maatta","DET, UTA","D","58","1165.7333333333","2","12","6","6","14","32.56","55","3.64","3.83","135","87","46","10","4","12","14","6","6","0","0","8","85","17","17","142","108","0","0","-"
"381","Kevin Stenlund","UTA","C","61","870.06666666667","7","7","4","3","14","63.64","73","9.59","8.15","136","107","56","19","7","9","26","12","12","0","0","10","36","14","39","55","44","434","304","58.81"
"392","Steven Lorentz","TOR","C","59","615.38333333333","5","9","4","5","14","73.68","52","9.62","6.08","103","81","47","25","1","6","4","2","2","0","0","5","21","11","148","53","40","11","17","39.29"
"426","Dante Fabbro","CBJ, NSH","D","47","971.25","4","10","2","8","14","29.79","56","7.14","1.64","138","84","33","0","6","15","28","13","13","0","0","5","64","17","50","86","107","0","0","-"
"466","Justin Danforth","CBJ","R","39","577.15","6","8","4","4","14","70.00","66","9.09","8.36","96","84","63","35","7","11","10","5","5","0","0","1","16","6","85","45","38","210","222","48.61"
"468","Zach Aston-Reese","CBJ","C","59","806.05","4","10","6","4","14","53.85","75","5.33","9.65","147","107","82","48","11","13","23","10","9","1","0","10","28","7","137","50","42","2","6","25.00"
"516","Johnathan Kovacevic","N.J","D","62","1218.1333333333","1","13","8","5","14","35.00","58","1.72","2.68","173","104","39","2","13","14","47","19","16","3","0","9","72","24","80","97","80","0","0","-"
"522","Nick Perbix","T.B","D","54","808.76666666667","4","10","4","6","14","40.00","51","7.84","3.21","132","79","39","10","6","11","18","9","9","0","0","6","49","18","42","112","49","0","0","-"
"530","Parker Kelly","COL","C","61","787.5","5","9","6","3","14","77.78","69","7.25","7.16","157","112","69","29","6","9","23","10","9","1","0","11","32","14","115","77","51","275","369","42.70"
"579","Pontus Holmberg","TOR","R","49","654.35","6","8","3","5","14","66.67","51","11.76","8.07","116","80","62","32","2","10","25","11","10","1","0","23","22","8","25","57","39","112","120","48.28"
"600","Egor Zamula","PHI","D","43","726.56666666667","3","11","5","6","14","46.67","25","12.00","0.6","73","36","14","1","2","4","2","1","1","0","0","1","33","10","16","48","66","0","0","-"
"608","Blake Lizotte","PIT","C","44","526.91666666667","9","5","2","3","14","73.68","40","22.50","4.93","75","62","37","18","2","5","24","12","12","0","0","3","27","7","48","57","22","128","131","49.42"
"681","Braden Schneider","NYR","D","61","1065.25","3","11","4","7","14","30.43","78","3.85","3.26","174","111","50","6","2","23","10","5","5","0","0","6","75","12","108","158","115","0","0","-"
"686","Kaiden Guhle","MTL","D","44","934.28333333333","4","10","7","3","14","32.56","58","6.90","2.42","144","93","39","4","9","9","27","12","11","1","0","8","32","13","67","94","100","0","0","-"
"712","Jamie Drysdale","PHI","D","49","954.61666666667","3","11","3","8","14","28.00","42","7.14","2.26","128","72","34","3","3","9","14","7","7","0","0","4","50","18","10","61","68","0","0","-"
"738","Yegor Chinakhov","CBJ","R","21","357.43333333333","7","7","5","2","14","63.64","55","12.73","4.45","101","77","44","18","6","11","2","1","1","0","0","2","12","3","32","9","10","0","0","-"
"785","Olen Zellweger","ANA","D","43","810.1","5","9","5","4","14","34.15","88","5.68","4.62","205","131","55","9","3","12","12","6","6","0","0","9","42","14","28","86","46","0","0","-"
"820","Frank Nazar","CHI","C","32","481.13333333333","4","10","6","4","14","66.67","49","8.16","5.02","86","68","55","27","6","8","10","5","5","0","0","10","30","5","20","39","19","78","100","43.82"
"21","Ian Cole","UTA","D","61","1257.35","1","12","5","7","13","31.71","54","1.85","3.74","152","95","39","6","6","10","53","23","22","1","0","9","86","21","73","92","160","0","0","-"
"31","Max Pacioretty","TOR","L","37","499.41666666667","5","8","4","4","13","52.00","70","7.14","10","130","103","68","44","5","14","16","8","8","0","0","4","27","5","104","44","14","6","5","54.55"
"65","Brayden McNabb","VGK","D","60","1218.7833333333","4","9","4","5","13","21.67","73","5.48","2.66","180","112","53","6","11","13","22","11","11","0","0","4","57","15","100","89","129","0","0","-"
"84","Radko Gudas","ANA","D","58","1120.0666666667","1","12","9","3","13","30.95","69","1.45","2.91","185","112","40","3","10","15","68","27","24","2","1","14","72","5","203","83","132","0","0","-"
"120","Colin Blackwell","DAL","C","50","584.58333333333","5","8","4","4","13","65.00","55","9.09","5.55","112","75","51","27","4","10","10","5","5","0","0","8","27","12","73","47","21","117","118","49.79"
